Country,cases,deaths,case rate (day-1),death rate (day-1),doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases
AUT,10180.0,128.0,0.077,0.197,9.0,3.5,0.021,0.010,0.005,183881.865,91940.933,45970.466
ARG,1054.0,27.0,0.137,0.148,5.1,4.7,0.001,0.000,0.000,23710.718,11855.359,5927.679
BRA,5717.0,201.0,0.120,0.190,5.8,3.7,0.001,0.001,0.000,268156.944,134078.472,67039.236
BGR,399.0,8.0,0.086,0.094,8.0,7.4,0.001,0.000,0.000,4087.077,2043.539,1021.769
BEL,12775.0,705.0,0.176,0.309,3.9,2.2,0.271,0.135,0.068,3107942.453,1553971.226,776985.613
CAN,690.0,8.0,0.146,0.073,4.8,9.5,0.000,0.000,0.000,3329.151,1664.575,832.288
COL,906.0,16.0,0.125,0.211,5.5,3.3,0.001,0.000,0.000,26515.051,13257.525,6628.763
DNK,3039.0,90.0,0.077,0.258,9.0,2.7,0.041,0.021,0.010,236903.976,118451.988,59225.994
FRA,52827.0,3532.0,0.138,0.190,5.0,3.7,0.073,0.036,0.018,4712472.374,2356236.187,1178118.094
FIN,1418.0,17.0,0.115,0.335,6.0,2.1,0.018,0.009,0.004,97008.871,48504.436,24252.218
DEU,71808.0,775.0,0.124,0.232,5.6,3.0,0.019,0.009,0.005,1574925.844,787462.922,393731.461
GRC,1314.0,49.0,0.081,0.213,8.5,3.3,0.008,0.004,0.002,82083.936,41041.968,20520.984
HUN,492.0,16.0,0.209,0.206,3.3,3.4,0.003,0.001,0.001,25066.524,12533.262,6266.631
IND,1397.0,35.0,0.186,0.197,3.7,3.5,0.000,0.000,0.000,50234.231,25117.116,12558.558
IDN,1528.0,136.0,0.111,0.112,6.3,6.2,0.000,0.000,0.000,83014.514,41507.257,20753.629
IRL,3235.0,71.0,0.190,0.216,3.7,3.2,0.026,0.013,0.006,123389.151,61694.575,30847.288
ITA,105792.0,12428.0,0.069,0.095,10.1,7.3,0.106,0.053,0.026,6407283.871,3203641.936,1601820.968
ISR,5358.0,20.0,0.229,0.344,3.0,2.0,0.015,0.007,0.004,124761.718,62380.859,31190.430
MEX,1094.0,28.0,0.214,0.280,3.2,2.5,0.001,0.000,0.000,92455.343,46227.672,23113.836
MDA,353.0,4.0,0.137,0.088,5.1,7.8,0.000,0.000,0.000,1935.622,967.811,483.905
NLD,12667.0,1040.0,0.158,0.198,4.4,3.5,0.089,0.044,0.022,1510945.489,755472.744,377736.372
NGA,135.0,2.0,0.197,0.081,3.5,8.6,0.000,0.000,0.000,897.970,448.985,224.492
NOR,4641.0,39.0,0.089,0.155,7.8,4.5,0.007,0.003,0.002,36579.452,18289.726,9144.863
PAK,1938.0,26.0,0.089,0.215,7.8,3.2,0.000,0.000,0.000,44579.221,22289.610,11144.805
PRT,7443.0,160.0,0.152,0.157,4.6,4.4,0.015,0.008,0.004,154202.353,77101.176,38550.588
POL,2311.0,33.0,0.171,0.154,4.0,4.5,0.001,0.000,0.000,30676.402,15338.201,7669.101
ROU,2245.0,82.0,0.159,0.286,4.4,2.4,0.015,0.007,0.004,286573.805,143286.902,71643.451
RUS,2337.0,17.0,0.256,0.268,2.7,2.6,0.000,0.000,0.000,49483.340,24741.670,12370.835
ESP,95923.0,8464.0,0.145,0.219,4.8,3.2,0.324,0.162,0.081,15150047.152,7575023.576,3787511.788
SWE,4435.0,180.0,0.093,0.274,7.5,2.5,0.056,0.028,0.014,555402.976,277701.488,138850.744
CHE,16605.0,433.0,0.071,0.158,9.7,4.4,0.050,0.025,0.012,421987.902,210993.951,105496.976
TUR,13531.0,214.0,0.249,0.213,2.8,3.3,0.004,0.002,0.001,360231.086,180115.543,90057.771
GBR,25150.0,2352.0,0.170,0.210,4.1,3.3,0.057,0.029,0.014,3849642.897,1924821.449,962410.724
UKR,645.0,17.0,0.273,0.151,2.5,4.6,0.000,0.000,0.000,15457.302,7728.651,3864.326
US,188172.0,3873.0,0.152,0.232,4.6,3.0,0.024,0.012,0.006,7881779.574,3940889.787,1970444.893
