Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,0.5% mort sim/cases,1% mort sim/cases,2% mort sim/cases
AUT,Austria,10180,128,8,20,9.0,3.5,2.07,1.03,0.52,183881,91940,45970,18,9,4
ARG,Argentina,1054,27,14,15,5.1,4.7,0.05,0.03,0.01,23710,11855,5927,22,11,5
BRA,Brazil,5717,201,12,19,5.8,3.7,0.13,0.06,0.03,268156,134078,67039,46,23,11
BGR,Bulgaria,399,8,9,9,8.0,7.4,0.06,0.03,0.01,4087,2043,1021,10,5,2
BEL,Belgium,12775,705,18,31,3.9,2.2,27.07,13.53,6.77,3107942,1553971,776985,243,121,60
CAN,Canada,690,8,15,7,4.8,9.5,0.01,0.00,0.00,3329,1664,832,4,2,1
COL,Colombia,906,16,13,21,5.5,3.3,0.05,0.03,0.01,26515,13257,6628,29,14,7
DNK,Denmark,3039,90,8,26,9.0,2.7,4.12,2.06,1.03,236903,118451,59225,77,38,19
FRA,France,52827,3532,14,19,5.0,3.7,7.25,3.63,1.81,4712472,2356236,1178118,89,44,22
FIN,Finland,1418,17,12,34,6.0,2.1,1.76,0.88,0.44,97008,48504,24252,68,34,17
DEU,Germany,71808,775,12,23,5.6,3.0,1.89,0.95,0.47,1574925,787462,393731,21,10,5
GRC,Greece,1314,49,8,21,8.5,3.3,0.78,0.39,0.20,82083,41041,20520,62,31,15
HUN,Hungary,492,16,21,21,3.3,3.4,0.26,0.13,0.06,25066,12533,6266,50,25,12
IND,India,1397,35,19,20,3.7,3.5,0.00,0.00,0.00,50234,25117,12558,35,17,8
IDN,Indonesia,1528,136,11,11,6.3,6.2,0.03,0.02,0.01,83014,41507,20753,54,27,13
IRL,Ireland,3235,71,19,22,3.7,3.2,2.56,1.28,0.64,123389,61694,30847,38,19,9
ITA,Italy,105792,12428,7,9,10.1,7.3,10.57,5.28,2.64,6407283,3203641,1601820,60,30,15
ISR,Israel,5358,20,23,34,3.0,2.0,1.49,0.74,0.37,124761,62380,31190,23,11,5
MEX,Mexico,1094,28,21,28,3.2,2.5,0.07,0.04,0.02,92455,46227,23113,84,42,21
MDA,Moldova,353,4,14,9,5.1,7.8,0.05,0.02,0.01,1935,967,483,5,2,1
NLD,Netherlands,12667,1040,16,20,4.4,3.5,8.86,4.43,2.21,1510945,755472,377736,119,59,29
NGA,Nigeria,135,2,20,8,3.5,8.6,0.00,0.00,0.00,897,448,224,6,3,1
NOR,Norway,4641,39,9,15,7.8,4.5,0.69,0.34,0.17,36579,18289,9144,7,3,1
PAK,Pakistan,1938,26,9,21,7.8,3.2,0.02,0.01,0.01,44579,22289,11144,23,11,5
PRT,Portugal,7443,160,15,16,4.6,4.4,1.50,0.75,0.38,154202,77101,38550,20,10,5
POL,Poland,2311,33,17,15,4.0,4.5,0.08,0.04,0.02,30676,15338,7669,13,6,3
ROU,Romania,2245,82,16,29,4.4,2.4,1.47,0.73,0.37,286573,143286,71643,127,63,31
RUS,Russia,2337,17,26,27,2.7,2.6,0.03,0.02,0.01,49483,24741,12370,21,10,5
ESP,Spain,95923,8464,14,22,4.8,3.2,32.45,16.22,8.11,15150047,7575023,3787511,157,78,39
SWE,Sweden,4435,180,9,27,7.5,2.5,5.57,2.79,1.39,555402,277701,138850,125,62,31
CHE,Switzerland,16605,433,7,16,9.7,4.4,4.95,2.48,1.24,421987,210993,105496,25,12,6
TUR,Turkey,13531,214,25,21,2.8,3.3,0.43,0.22,0.11,360231,180115,90057,26,13,6
GBR,UK,25150,1789,17,21,4.1,3.3,4.23,2.12,1.06,2841334,1420667,710333,112,56,28
UKR,Ukraine,645,17,27,15,2.5,4.6,0.03,0.02,0.01,15457,7728,3864,23,11,5
USA,US,188172,3873,15,23,4.6,3.0,2.41,1.20,0.60,7881779,3940889,1970444,41,20,10
